8,0,3,0,0,0,0,0,2,0,0,,
11,0,3,1,0,0,0,0,0,0,0,,
13,0,0,1,0,4,0,0,0,0,0,,
14,0,0,0,0,2,2,0,0,1,0,,
51,0,0,0,3,0,0,0,0,0,2,,
85,0,0,0,0,0,0,2,0,2,1,2024-12-11 0:00:00,2024-12-17 0:00:00
93,1,0,0,0,3,0,0,0,0,1,,
98,1,0,0,0,1,0,0,2,1,0,,
123,0,0,0,0,3,0,0,2,0,0,,
147,0,0,2,0,0,0,0,2,1,0,,
150,0,0,1,0,0,0,1,2,1,0,,
160,0,0,1,2,0,0,0,0,0,2,,2024-12-19 0:00:00
170,0,2,0,0,0,3,0,0,0,0,,
173,1,0,0,0,2,0,1,0,0,0,,
175,0,0,2,0,0,1,0,0,0,1,,
177,1,0,0,0,2,0,0,0,0,2,,
191,1,0,0,0,0,2,0,0,1,0,,
227,0,0,0,0,1,2,0,1,0,0,,
243,1,0,2,0,0,0,0,0,1,1,,
260,0,1,0,0,0,0,0,2,2,0,,
272,0,2,2,0,0,0,0,1,0,0,,
278,0,0,0,0,3,0,0,0,1,1,,
283,0,2,1,0,0,0,0,1,1,0,,
297,0,1,0,0,0,0,0,0,1,3,,
306,0,0,0,0,2,0,3,0,0,0,,
310,0,0,0,0,0,2,0,0,1,0,,
329,0,0,2,0,0,0,0,0,2,1,,
342,1,0,2,0,2,0,0,0,0,0,,
348,0,1,0,0,0,0,0,0,1,3,,
382,2,0,0,0,2,0,0,1,0,0,,
385,0,0,0,0,0,0,0,1,3,1,,
431,1,0,0,1,0,0,0,0,0,0,,
437,0,0,0,0,0,0,1,0,2,2,,
443,0,0,2,0,2,0,0,0,0,1,,
448,0,0,0,2,0,0,1,0,0,1,,
455,0,0,1,0,0,0,0,0,2,2,,
460,0,0,0,4,1,0,0,0,0,0,,
473,1,0,0,0,2,0,0,1,1,0,,
485,1,0,0,0,1,0,0,2,1,0,,
527,1,0,0,0,0,0,2,0,2,0,,
546,0,0,1,0,1,0,0,0,1,2,,
556,0,0,0,1,0,0,0,3,1,0,,
570,1,0,0,0,2,0,0,0,1,1,,
581,0,0,0,0,1,1,1,0,2,0,,
629,0,0,0,0,1,2,0,0,1,0,,
633,0,0,0,0,0,2,0,0,0,0,,
684,0,0,0,0,2,0,0,0,3,0,,
690,0,0,0,0,1,0,0,0,0,0,,
702,0,0,0,0,1,2,2,0,0,0,,
715,1,0,1,0,0,0,0,0,1,2,,
740,2,1,0,0,0,0,0,0,0,1,,
746,0,0,2,2,0,1,0,0,0,0,,
752,0,0,1,0,0,0,3,0,0,1,,
787,0,3,0,0,0,0,0,0,1,1,,
788,2,0,0,0,0,0,1,0,0,2,,
797,0,0,0,0,0,2,3,0,0,0,,
841,0,0,1,0,1,0,1,2,0,0,,
872,0,0,0,2,0,0,0,1,2,0,,
877,0,0,0,0,0,3,0,0,2,0,,
878,0,0,1,0,2,0,1,0,0,0,,
879,0,0,0,2,0,0,2,0,0,1,,
896,0,0,0,0,1,0,2,0,0,2,,
952,1,0,3,0,0,0,0,0,1,0,,
976,1,0,0,1,0,0,3,0,0,0,,
982,1,0,0,0,0,0,3,0,1,0,,
984,0,0,0,0,0,0,0,4,1,0,,
988,0,1,2,0,0,0,0,0,0,2,,
995,2,0,0,0,0,0,1,0,2,0,,
1014,0,3,0,0,0,0,0,0,1,1,,
1085,0,0,0,2,0,0,0,0,1,2,,
1087,0,0,0,0,0,1,0,2,2,0,,
1141,2,0,0,1,0,0,0,2,0,0,,
1149,0,0,0,0,0,0,2,1,1,1,,
1171,0,0,0,0,0,1,0,2,1,1,,
1186,3,0,1,0,0,0,0,0,0,1,,
1239,2,0,0,0,0,1,0,2,0,0,,
1249,0,1,0,1,0,0,0,1,0,2,,
1275,0,0,0,1,0,0,0,0,3,1,,
1278,0,0,0,0,0,3,0,0,2,0,,
1280,0,0,0,3,0,1,0,0,1,0,,
1317,1,1,0,0,1,0,0,0,2,0,,
1335,0,2,0,0,2,0,0,0,1,0,,
1525,0,1,1,0,2,0,0,0,0,1,,
1539,0,2,0,0,0,0,1,2,0,0,,
1620,1,0,1,0,0,0,0,0,3,0,,
1627,0,0,0,0,0,4,0,1,0,0,,
